Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Cyprus,CYP,Europe,3394.0,7022.0,1.14,0.347,Republic,19320.0,207313.0,498.0,224.52,801851.0,3571.44,0.0,48.9,51.1,0.0,29.4510638298
Czech Republic,CZE,Europe,2449.0,3580.0,1.94,15.1056878205,Republic,181811.0,405093.0,677.0,345.23,10512397.0,30450.32,0.0,50.8,49.2,0.0,9.8
Germany,DEU,Europe,594269.0,316058.0,0.86,0.0884,Republic,3355772.0,12005690.0,700.0,593.11,81757600.0,137846.52,0.0,50.9,49.1,0.0,15.5
Djibouti,DJI,Africa,15104.0,19359.0,3.4,40.84,Republic,1589.0,123537.0,220.0,98.98,879000.0,8880.35,1.0,49.8,50.2,0.0,18.8
Denmark,DNK,Europe,17922.0,27267.0,1.01,2.74,Constitutional monarchy,295164.0,572520.0,703.0,332.97,5540241.0,16638.68,0.0,50.4,49.6,0.0,13.4
Dominican Republic,DOM,North America,599.0,605.0,22.0,11.14,Republic,67103.0,415564.0,1410.0,543.46,10225000.0,18814.75,0.0,50.0,50.0,0.0,34.4
Algeria,DZA,Africa,94144.0,94161.0,0.64,0.658,Republic,166839.0,270407.0,89.0,38.52,35423000.0,919594.58,0.0,49.4,50.6,0.0,23.0
Ecuador,ECU,South America,121249.0,121451.0,19.0,3.83,Republic,100872.0,359315.0,2087.0,129.96,14228000.0,109483.08,0.0,50.0,50.0,0.0,25.6
Egypt,EGY,Africa,95056.0,212462.0,0.8,2.66,Republic,330779.0,297448.0,51.0,203.92,78848000.0,386661.85,0.0,49.8,50.2,0.0,22.0
Eritrea,ERI,Africa,4809.0,2549.0,16.0,84.48,Republic,460742.224359,15798.0,384.0,111.52,5224000.0,46841.89,1.0,50.1,49.9,0.0,50.0
Spain,ESP,Europe,3820.0,5737.0,0.9,0.164,Constitutional monarchy,1199057.0,5852953.0,636.0,240.9,46951532.0,194897.34,0.0,50.6,49.4,0.0,21.1
Estonia,EST,Europe,39.0,133.0,7.1,1.58,Republic,22691.0,202348.0,626.0,76.74,1340021.0,17461.85,0.0,53.6,46.4,0.0,17.5
Ethiopia,ETH,Africa,154295.0,736071.0,21.0,32.82,Republic,61537.0,718241.0,848.0,182.04,79221000.0,435185.99,1.0,50.0,50.0,0.0,39.0
Finland,FIN,Europe,8724.0,12622.0,2.5,1.12,Republic,229810.0,315881.0,536.0,41.24,5366100.0,130127.96,0.0,50.9,49.1,0.0,29.4510638298
Fiji,FJI,Oceania,1.0,7.0,2.8,1.31,Republic,4386.0,13751.0,2592.0,121.06,854000.0,7054.08,0.0,49.1,50.9,0.0,31.0
France,FRA,Europe,200687.0,273092.0,1.31,0.613,Republic,2421682.0,7784418.0,867.0,309.87,65447374.0,211209.38,0.0,51.6,48.4,0.0,7.9
Gabon,GAB,Africa,9015.0,919.0,9.15748091603,12.29,Republic,14340.0,394953.0,1831.0,14.52,1501000.0,103346.76,0.0,49.7,50.3,0.0,29.4510638298
United Kingdom,GBR,Europe,238150.0,122996.0,9.15748091603,0.212,Constitutional monarchy,2848755.0,8543120.0,1220.0,656.35,62041708.0,94525.49,0.0,50.7,49.3,0.0,16.2
Georgia,GEO,Europe,639.0,1963.0,7.6,0.836,Republic,13965.0,189893.0,1026.0,164.84,4436000.0,26911.31,0.0,52.9,47.1,0.0,9.2
Ghana,GHA,Africa,13828.0,17394.0,1.7,25.72,Republic,37864.0,358829.0,1187.0,263.18,24333000.0,92455.98,0.0,50.4,49.6,0.0,28.5
Guinea,GIN,Africa,14113.0,8825.0,9.15748091603,37.64,Republic,6699.0,378464.0,1651.0,108.76,10324000.0,94925.88,0.0,49.9,50.1,0.0,47.0
Gambia,GMB,Africa,8378.0,7851.0,9.15748091603,41.97,Republic,0.0,162919.0,836.0,401.33,1751000.0,4362.95,0.0,50.5,49.5,0.0,48.4
Equatorial Guinea,GNQ,Africa,68206.0,103635.0,19.0,52.09,Republic,9398.0,10141.0,2156.0,63.99,693000.0,10830.55,0.0,48.8,51.2,0.0,29.4510638298
Greece,GRC,Europe,1444.0,30187.0,1.05,0.246,Republic,195212.0,1242514.0,652.0,221.94,11306183.0,50942.3,0.0,50.7,49.3,0.0,20.0
Guatemala,GTM,North America,138.0,222.0,52.0,7.48,Republic,63794.0,72764.0,1996.0,341.96,14377000.0,42042.65,0.0,51.2,48.8,0.0,54.0
Guyana,GUY,South America,7.0,7.0,21.0,31.7,Republic,3166.0,14770.0,2387.0,9.17,761000.0,83000.35,0.0,49.2,50.8,0.0,35.0
Honduras,HND,North America,14.0,23.0,67.0,8.39,Republic,20152.0,27503.0,1976.0,175.98,7616000.0,43278.17,0.0,50.0,50.0,0.0,60.0
Croatia,HRV,Europe,936.0,473.0,1.67,0.865,Republic,48732.0,576883.0,1113.0,203.15,4435056.0,21830.98,0.0,51.8,48.2,0.0,21.1
Haiti,HTI,North America,0.0,0.0,21.0,69.64,Republic,8877.0,39529.0,1440.0,950.88,10188000.0,10714.33,0.0,50.6,49.4,0.0,80.0
Hungary,HUN,Europe,5414.0,4333.0,1.38,0.858,Republic,120687.0,449632.0,589.0,278.78,10013628.0,35919.07,0.0,52.5,47.5,0.0,14.0
Indonesia,IDN,Asia,811.0,5954.0,1.05,3.74,Republic,861934.0,295433.0,2702.0,315.99,234181400.0,741099.62,0.0,49.7,50.3,0.0,11.7
India,IND,Asia,184821.0,201364.0,2.8,1.14,Republic,2073543.0,5338486.0,1083.0,933.27,1184639000.0,1269345.07,0.0,48.3,51.7,0.0,29.8
Ireland,IRL,Europe,9107.0,6063.0,9.15748091603,1.28,Republic,238020.0,746260.0,1118.0,164.34,4459300.0,27135.25,0.0,50.4,49.6,0.0,5.5
Iran,IRN,Asia,1073366.0,979435.0,2.6,0.0454,Republic,425326.0,2649516.0,228.0,117.99,75078000.0,636296.1,0.0,49.7,50.3,0.0,18.7
Iraq,IRQ,Asia,34655.0,277697.0,9.15748091603,12.99,Republic,168607.0,95780.0,216.0,186.47,31467000.0,168754.37,0.0,49.4,50.6,1.0,25.0
Iceland,ISL,Europe,83.0,125.0,0.0,1.38,Republic,16598.0,37522.0,1940.0,7.99,317900.0,39768.51,0.0,49.7,50.3,0.0,29.4510638298
Israel,ISR,Asia,25471.0,38463.0,2.1,2.65,Republic,296075.0,2046873.0,435.0,948.01,7602400.0,8019.34,0.0,50.5,49.5,0.0,21.0
Italy,ITA,Europe,56397.0,117986.0,1.1,0.421,Republic,1814763.0,5788875.0,832.0,518.81,60340328.0,116305.51,0.0,51.4,48.6,0.0,29.9
Jamaica,JAM,North America,21.0,8.0,60.0,11.09,Constitutional monarchy,14006.0,23167.0,2051.0,643.31,2730000.0,4243.65,0.0,50.8,49.2,0.0,16.5
