Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
East Timor,TLS,Asia,68206.0,103635.0,13.0,13.71,Republic,460742.224359,1440562.0,1500.0,202.1,1171000.0,5794.23,0.0,49.9453416149,50.0546583851,0.0,41.0
Trinidad and Tobago,TTO,North America,29.0,101.0,43.0,1.23,Republic,27806.0,32488.0,2200.0,678.81,1344000.0,1979.93,0.0,50.6,49.4,0.0,17.0
Tunisia,TUN,Africa,89.0,649.0,9.15748091603,0.0473,Republic,43015.0,36526.0,207.0,165.15,10432500.0,63170.15,0.0,50.4,49.6,0.0,3.8
Turkey,TUR,Asia,10032.0,2541308.0,3.8,3.34,Republic,718221.0,4580678.0,593.0,240.76,72561312.0,301383.5,0.0,50.9,49.1,0.0,16.9
United Republic of Tanzania,TZA,Africa,109286.0,211845.0,7.5,3.98,Republic,460742.224359,312778.0,1071.0,123.43,45040000.0,364899.98,1.0,50.0,50.0,0.0,36.0
Uganda,UGA,Africa,135801.0,477167.0,8.7,18.86,Republic,26369.0,531401.0,1180.0,370.83,33796000.0,91135.52,1.0,49.9,50.1,0.0,24.5
Ukraine,UKR,Europe,3022.0,3226.0,5.4,0.534,Republic,90615.0,4834898.0,1875.0,196.8,45871738.0,233089.78,0.0,53.9,46.1,0.0,24.1
Uruguay,URY,South America,189.0,267.0,5.8,0.147,Republic,53443.0,73528.0,1265.0,49.57,3372000.0,68031.17,0.0,51.7,48.3,0.0,18.6
United States of America,USA,North America,264569.0,273113.0,5.0,5.64,Republic,17946996.0,46627102.0,715.0,83.38,309975000.0,3717811.29,0.0,50.8,49.2,0.0,15.1
Uzbekistan,UZB,Asia,311.0,106.0,3.2,6.06,Republic,66733.0,1266278.0,206.0,160.9,27794000.0,172742.03,0.0,50.3,49.7,0.0,17.0
Venezuela,VEN,South America,201547.0,173705.0,49.0,6.37,Republic,371337.0,1171331.0,1875.0,82.03,28888000.0,352144.33,0.0,49.9,50.1,0.0,31.6
Vietnam,VNM,Asia,1928.0,0.0,1.9,1.37,Republic,193599.0,68290.0,1821.0,674.21,85789573.0,127243.78,0.0,50.6,49.4,0.0,11.3
Vanuatu,VUT,Oceania,4.0,103635.0,9.15748091603,1.32,Republic,0.0,3187.0,1110.7875,52.22,246000.0,4710.44,0.0,49.3,50.7,0.0,29.4510638298
Yemen,YEM,Asia,190092.0,267158.0,4.0,20.55,Republic,35955.0,314683.0,167.0,118.99,24256000.0,203850.27,0.0,49.6,50.4,1.0,45.2
South Africa,ZAF,Africa,57899.0,121573.0,34.0,12.82,Republic,312798.0,2399238.0,495.0,106.14,49991300.0,471010.46,0.0,51.5,48.5,0.0,31.3
Zambia,ZMB,Africa,47857.0,26429.0,9.15748091603,8.87,Republic,21202.0,98907.0,1020.0,45.62,13257000.0,290585.77,0.0,50.1,49.9,0.0,60.5
Zimbabwe,ZWE,Africa,4435.0,6933.0,9.15748091603,31.71,Republic,13893.0,360992.0,657.0,83.84,12644000.0,150803.72,0.0,50.6,49.4,0.0,68.0
