Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Swaziland,SWZ,Africa,759.0,674.0,13.0,28.07,Republic,4060.0,25524.0,788.0,166.0,17322796.0,104543.0,0.0,50.7,49.3,0.0,69.0
Syria,SYR,Asia,1005472.0,21102.0,3.0,0.864,Republic,452175.371069,1394227.0,252.0,264.0,8572895.0,32386.0,0.0,49.1,50.9,1.0,11.9
Chad,TCD,Africa,347939.0,369523.0,19.0,63.78,Republic,10889.0,331251.0,322.0,8.44,534189.0,63251.0,0.0,49.9,50.1,1.0,80.0
Togo,TGO,Africa,14051.0,21939.0,9.15748091603,11.2,Republic,4003.0,202476.0,1168.0,254.0,2821977.0,11082.0,0.0,50.7,49.3,0.0,32.0
Thailand,THA,Asia,96675.0,108237.0,5.9,3.68,Constitutional monarchy,395282.0,3721735.0,1622.0,275.0,9877365.0,35919.0,0.0,51.0,49.0,0.0,13.2
Tajikistan,TJK,Asia,3131.0,1963.0,1.7,0.886,n/a,7853.0,275735.0,691.0,548.838806151,33117866.4177,272878.705267,0.0,49.8,50.2,0.0,35.6
Turkmenistan,TKM,Asia,62.0,25.0,4.1,15.530863522,Republic,37334.0,226327.0,161.0,9.01,2024904.0,224607.0,0.0,50.8,49.2,0.0,30.0
East Timor,TLS,Asia,67165.3910256,101834.734177,13.0,13.71,Republic,452175.371069,1416737.33537,1500.0,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,41.0
Trinidad and Tobago,TTO,North America,29.0,101.0,43.0,1.23,Republic,27806.0,32488.0,2200.0,523.0,186988000.0,356669.0,0.0,50.6,49.4,0.0,17.0
Tunisia,TUN,Africa,89.0,649.0,9.15748091603,0.0473,Republic,43015.0,36526.0,207.0,150.0,1622000.0,10831.0,0.0,50.4,49.6,0.0,3.8
Turkey,TUR,Asia,10032.0,2541308.0,3.8,3.34,Constitutional monarchy,718221.0,4580678.0,593.0,220.0,6092000.0,27699.0,0.0,50.9,49.1,0.0,16.9
Taiwan,TWN,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,1103.0,8938.0,8.0,0.0,49.9493902439,50.0506097561,0.0,1.5
United Republic of Tanzania,TZA,Africa,109286.0,211845.0,7.5,3.98,Republic,452175.371069,312778.0,1071.0,119.0,9469200.0,80155.0,1.0,50.0,50.0,0.0,36.0
Uganda,UGA,Africa,135801.0,477167.0,8.7,18.86,Absolute monarchy,26369.0,531401.0,1180.0,339.0,5639719.0,16640.0,1.0,49.9,50.1,0.0,24.5
Ukraine,UKR,Europe,3022.0,3226.0,5.4,0.534,Constitutional monarchy,90615.0,4834898.0,1875.0,171.0,10777500.0,63170.0,0.0,53.9,46.1,0.0,24.1
Uruguay,URY,South America,189.0,267.0,5.8,0.147,Republic,53443.0,73528.0,1265.0,40.0,5063709.0,125013.0,0.0,51.7,48.3,0.0,18.6
United States of America,USA,North America,264569.0,273113.0,5.0,5.64,Republic,17946996.0,46627102.0,715.0,479.56,227767218.0,105943.0,0.0,50.8,49.2,0.0,15.1
Uzbekistan,UZB,Asia,311.0,106.0,3.2,6.06,Republic,66733.0,1266278.0,206.0,163.0,31458.0,192.0,0.0,50.3,49.7,0.0,17.0
Venezuela,VEN,South America,201547.0,173705.0,49.0,6.37,Republic,371337.0,1171331.0,1875.0,56.0,264652.0,4707.0,0.0,49.9,50.1,0.0,31.6
Vietnam,VNM,Asia,1928.0,0.0,1.9,1.37,Republic,193599.0,68290.0,1821.0,548.838806151,33117866.4177,272878.705267,0.0,50.6,49.4,0.0,11.3
Vanuatu,VUT,Oceania,4.0,101834.734177,9.15748091603,1.32,Republic,0.0,3187.0,1120.73006135,43.0,20609294.0,481354.0,0.0,49.3,50.7,0.0,29.8166666667
West Bank,PSE,,67165.3910256,101834.734177,9.15748091603,15.530863522,,452175.371069,1416737.33537,1120.73006135,548.838806151,33117866.4177,272878.705267,0.0,49.9493902439,50.0506097561,0.0,18.3
Yemen,YEM,Asia,190092.0,267158.0,4.0,20.55,Republic,35955.0,314683.0,167.0,117.0,620029.0,5333.0,0.0,49.6,50.4,1.0,45.2
South Africa,ZAF,Africa,57899.0,121573.0,34.0,12.82,Constitutional monarchy,312798.0,2399238.0,495.0,88.0,48244.0,540.0,0.0,51.5,48.5,0.0,31.3
Zambia,ZMB,Africa,47857.0,26429.0,9.15748091603,8.87,Republic,21202.0,98907.0,1020.0,37.0,40117096.0,1073518.0,0.0,50.1,49.9,0.0,60.5
Zimbabwe,ZWE,Africa,4435.0,6933.0,9.15748091603,31.71,Republic,13893.0,360992.0,657.0,61.0,30475144.0,496225.0,0.0,50.6,49.4,0.0,68.0
